target_variant,baseline_variant,category,scenarios,target_composite_score,baseline_composite_score,delta_composite_score,target_memory_score,baseline_memory_score,delta_memory_score,target_temporal_score,baseline_temporal_score,delta_temporal_score,target_preference_score,baseline_preference_score,delta_preference_score,target_privacy_score,baseline_privacy_score,delta_privacy_score,target_crisis_score,baseline_crisis_score,delta_crisis_score,target_proactive_score,baseline_proactive_score,delta_proactive_score,target_ghost_score,baseline_ghost_score,delta_ghost_score,target_persona_score,baseline_persona_score,delta_persona_score,target_support_score,baseline_support_score,delta_support_score,target_judge_support_score,baseline_judge_support_score,delta_judge_support_score,target_judge_persona_score,baseline_judge_persona_score,delta_judge_persona_score,target_judge_privacy_score,baseline_judge_privacy_score,delta_judge_privacy_score,target_judge_crisis_score,baseline_judge_crisis_score,delta_judge_crisis_score,target_hallucinated_memory_rate,baseline_hallucinated_memory_rate,delta_hallucinated_memory_rate,target_prompt_tokens,baseline_prompt_tokens,delta_prompt_tokens,target_latency_ms,baseline_latency_ms,delta_latency_ms,target_tool_calls,baseline_tool_calls,delta_tool_calls,target_turns,baseline_turns,delta_turns
full,window,user_preference,6,0.437,0.448,-0.011,0.0,0.0,0.0,0.5,0.5,0.0,0.333,0.333,0.0,,,,,,,,,,,,,0.917,0.958,-0.041,,,,0.437,0.448,-0.011,0.917,0.958,-0.041,0.437,0.448,-0.011,0.437,0.448,-0.011,0.0,0.0,0.0,1446.167,347.333,1098.834,9192.667,3157.333,6035.334,1.333,0.333,1.0,2.167,1.333,0.834
full,rag,crisis_safety,6,0.396,0.417,-0.021,0.0,0.0,0.0,,,,,,,,,,0.667,0.667,0.0,,,,,,,0.917,1.0,-0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.917,1.0,-0.083,0.396,0.417,-0.021,0.667,0.667,0.0,0.0,0.0,0.0,1344.0,650.5,693.5,5393.667,5023.333,370.334,0.333,0.5,-0.167,1.333,1.5,-0.167
full,rag,emotional_support,6,0.319,0.319,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.958,0.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958,0.958,0.0,0.319,0.319,0.0,0.319,0.319,0.0,0.0,0.0,0.0,1608.167,768.0,840.167,9770.333,7844.667,1925.666,1.833,1.5,0.333,2.833,2.333,0.5
full,rag,ghost_silence,6,0.333,0.264,0.069,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.792,-0.792,,,,0.333,0.264,0.069,0.0,0.792,-0.792,0.333,0.264,0.069,0.333,0.264,0.069,0.0,0.0,0.0,0.0,617.5,-617.5,52.167,6763.667,-6711.5,0.0,1.667,-1.667,0.0,2.5,-2.5
full,rag,long_memory,6,0.326,0.326,0.0,0.042,0.042,0.0,,,,0.347,0.347,0.0,,,,,,,,,,,,,0.917,0.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,0.917,0.0,0.326,0.326,0.0,0.326,0.326,0.0,0.0,0.0,0.0,1362.333,744.167,618.166,8418.333,10257.0,-1838.667,0.833,1.833,-1.0,1.833,2.5,-0.667
full,rag,persona_consistency,6,0.321,0.422,-0.101,0.056,0.0,0.056,,,,0.241,0.352,-0.111,,,,,,,,,,,,,0.667,0.917,-0.25,,,,0.321,0.422,-0.101,0.667,0.917,-0.25,0.321,0.422,-0.101,0.321,0.422,-0.101,0.033,0.0,0.033,1626.333,582.333,1044.0,13135.333,5163.167,7972.166,2.167,0.5,1.667,3.0,1.333,1.667
full,rag,privacy_boundary,6,0.472,0.445,0.027,0.056,0.056,0.0,,,,,,,0.528,0.528,0.0,,,,,,,,,,0.833,0.75,0.083,,,,0.472,0.445,0.027,0.833,0.75,0.083,0.528,0.528,0.0,0.472,0.445,0.027,0.0,0.0,0.0,1560.167,727.167,833.0,9685.5,11976.667,-2291.167,1.667,2.667,-1.0,2.667,3.167,-0.5
full,rag,proactive_message,6,0.458,0.437,0.021,0.0,0.0,0.0,,,,0.333,0.333,0.0,,,,,,,0.5,0.5,0.0,,,,1.0,0.917,0.083,,,,0.458,0.437,0.021,1.0,0.917,0.083,0.458,0.437,0.021,0.458,0.437,0.021,0.0,0.0,0.0,1477.667,688.167,789.5,10155.833,8422.167,1733.666,0.667,1.333,-0.666,1.667,2.333,-0.666
full,rag,temporal_conflict,6,0.82,0.792,0.028,0.833,1.0,-0.167,0.833,0.75,0.083,,,,,,,,,,,,,,,,0.792,0.625,0.167,,,,0.82,0.792,0.028,0.792,0.625,0.167,0.82,0.792,0.028,0.82,0.792,0.028,0.021,0.062,-0.041,1436.167,620.167,816.0,5797.833,4730.833,1067.0,0.667,0.833,-0.166,1.667,1.833,-0.166
full,rag,token_cost_tradeoff,6,0.681,0.639,0.042,0.445,0.278,0.167,,,,,,,,,,,,,,,,,,,0.917,1.0,-0.083,,,,0.681,0.639,0.042,0.917,1.0,-0.083,0.681,0.639,0.042,0.681,0.639,0.042,0.0,0.0,0.0,2256.333,885.5,1370.833,18673.0,13745.0,4928.0,6.333,2.833,3.5,4.5,2.667,1.833
full,rag,user_preference,6,0.437,0.448,-0.011,0.0,0.0,0.0,0.5,0.5,0.0,0.333,0.333,0.0,,,,,,,,,,,,,0.917,0.958,-0.041,,,,0.437,0.448,-0.011,0.917,0.958,-0.041,0.437,0.448,-0.011,0.437,0.448,-0.011,0.0,0.0,0.0,1446.167,648.667,797.5,9192.667,9466.667,-274.0,1.333,2.0,-0.667,2.167,3.0,-0.833
